number,name,raw_material,how_to,img
1,กระเพราไก่,"เนื้อไก่ชิ้น 500 กรัม
น้ำมันพืช 1 ช้อนโต๊ะ
กระเทียมโขลก 1 ช้อนชา
พริกขี้หนูโขลก 1 ช้อนโต๊ะ
ซีอิ๊วดำ 1 ช้อนโต๊ะ
ซีอิ๊วขาว 1 ช้อนโต๊ะ
น้ำปลา 1 ช้อนโต๊ะ
น้ำตาล 1/2 ช้อนโต๊ะ
ใบกะเพรา 1 กำมือ","1. ใส่น้ำมันในกระทะ เปิดไฟกลาง รอจนน้ำมันร้อน จากนั้นใส่กระเทียมและพริกลงไป ผัดจนเริ่มมีกลิ่นหอม
2. ใส่เนื้อไก่ลงไปผัดต่อจนสุก ปรุงรสด้วย ซีอิ๊วดำ ซีอิ๊วขาว น้ำปลา และน้ำตาล ผัดจนเครื่องปรุงคลุกเคล้าทั่ว
3. ใส่ใบกะเพราลงไปในกระทะ ผัดให้เข้ากัน และปิดไฟ ยกลงจากกระทะ",https://github.com/akkarapon-sompoht/image/blob/main/kraprao.jpg
2,ต้มยำกุ้ง,"ใบมะกรูด 4 ใบ
พริกชี้ฟ้า 10 เม็ด หั่นขวาง
กระเทียม 5 กลีบ
กุ้ง ½ กิโลกรัม (หรือเนื้อสัตว์อื่นๆ)
เห็ดฟาง 1 ถ้วย
มะเขือเทศ 2 ชิ้น หั่นชิ้นหนา
มะขามเปียก 1 ช้อนโต๊ะ
น้ำปลา หรือ ซีอิ๊วขาว 1 ช้อนโต๊ะ
น้ำตาล ½ ช้อนโต๊ะ
น้ำพริกเผา 2 ช้อนโต๊ะ
มะนาว 1 ลูก
ผักชี 2 ก้าน","1. นำน้ำใส่หม้อแล้วตั้งไฟแรงสุด
2. ใส่ตะไคร้ ข่า ใบมะกรูด น้ำปลา น้ำตาล และมะขามเปียก
3. ปล่อยให้เดือด 3-4 นาที จนสังเกตเห็นฟองเดือด
4. เติมกุ้ง หัวหอม น้ำพริกเผา และเห็ดฟาง
5. ต้มต่อประมาณ 10 นาที จนเนื้อกุ้งสุกดี
6. ใส่พริกชี้ฟ้า มะเขือเทศ ตามด้วยนมข้นจืด
7. คนให้เข้ากัน ปิดเตา แล้วบีบมะนาวตาม
8. โรยผักชี และตักเสิร์ฟ",https://github.com/akkarapon-sompoht/templel/blob/main/img/3.jpg
3,ต้มข่าไก่,"เนื้ออกไก่หั่นเต๋า 6 ออนซ์ (หรือใช้อาหารทะเลอื่น ๆ ก็ได้ตามชอบ) 
น้ำซุปไก่ หรือน้ำเปล่า 1+1/2 ถ้วย
ข่าหั่นเป็นแว่น 3-4 แว่น
ตะไคร้ซอยบาง ๆ 1 ต้นใบมะกรูด 2 ใบ 
น้ำปลา 1/3 ถ้วย
น้ำตาลทราย 3+1/2 ช้อนโต๊ะ
กะทิ 1+1/2 ถ้วย
เห็ด (ตามชอบ) 1/2 ถ้วย
น้ำมะนาว (หรือน้ำเลมอน) 1/3 ถ้วย
น้ำมันน้ำพริกเผา 1-2 ช้อนโต๊ะ
พริกขี้หนูสด ประมาณ 4 เม็ด
ต้นหอม 1 ต้น
ผักชี 1/2 ถ้วย","1. ซอยตะไคร้และข่าให้เป็นชิ้นเล็ก ๆ 
2. นำเห็ดตามชอบไปล้างให้สะอาด ตัดโคนทิ้งไป เตรียมไว้
3. ตัดครึ่งใบมะกรูด เตรียมไว้
4. นำผักชีมาตัดแยกก้านและใบออก จากนั้นหั่นก้านผักชีเป็นท่อน ๆ และซอยใบผักชีเตรียมไว้สำหรับโรยหน้า
5. ซอยต้นหอมเตรียมไว้สำหรับโรยหน้า",https://github.com/akkarapon-sompoht/templel/blob/main/img/2.jpg
4, ผัดไทยกุ้งสด,"ผัดไทย                                                             กุ้งสด (แกะเปลือกผ่าหลังเอาเส้นดำออก) 3-5 ตัว (ตามชอบ)
​​เต้าหู้เหลือง (หั่นเต๋า) 3 ช้อนโต๊ะ
ไชโป๊ (สับละเอียด) 2 ช้อนโต๊ะ
ก๋วยเตี๋ยวเส้นเล็ก (หรือเส้นจันท์) แช่น้ำจนนิ่ม
ถั่วงอกดิบ
​ใบกุยช่าย (หั่นท่อน)
ไข่ไก่ 1 ฟอง
น้ำมันพืช (สำหรับผัด)                                                                                                                                            ซอสผัดไทย                                                     น้ำตาลปี๊บ 2 ช้อนโต๊ะ
น้ำมะขามเปียก 2 ช้อนโต๊ะ
น้ำปลา 2 ช้อนโต๊ะ
พริกป่น 1 ช้อนชา (หรือความเผ็ดตามชอบ)
​ถั่วลิสงคั่วบด (ตามชอบ)
ผักสด (สำหรับทานคู่)​​","วิธีทำซอสผัดไทย
​ผสมน้ำตาลปี๊บ น้ำมะขามเปียก น้ำปลา และพริกป่นเข้าด้วยกัน นำขึ้นตั้งไฟพอร้อนและน้ำตาลปี๊บละลายเตรียมไว้ (ถ้าต้องการเก็บไว้หลายวันให้รอจนเดือดแล้วเก็บใส่ภาชนะที่มีฝาปิดมิดชิด)                                                                                                                             วิธีทำผัดไทยกุ้งสด
1. ใส่น้ำมันพืชลงในกระทะ พอน้ำมันร้อนใส่กุ้งสดลงไปผัดให้โดนความร้อนจนกุ้งเริ่มสุก ตักขึ้นใส่จานเตรียมไว้
2. ใส่เต้าหู้ลงไปผัดในกระทะใบเดิมพอให้เหลืองหอม ตามด้วยไชโป๊สับ ผัดพอเข้ากัน ใส่น้ำซอสผัดไทยที่เตรียมไว้ลงไปผัดให้เข้ากันจนเริ่มเดือด
3. ใส่เส้นก๋วยเตี๋ยวที่แช่น้ำแล้วลงไปผัดให้เข้ากันเบา ๆ แล้วใช้ตะหลิวเขี่ยเส้นไปไว้ข้างกระทะ
4. ตอกไข่ไก่ลงไป ยีให้พอแตก รอจนไข่เริ่มสุกแล้วนำส่วนผสมเส้นมาผัดให้เข้ากัน ตามด้วยกุ้งที่เตรียมไว้ตักใส่จาน เสิร์ฟพร้อมผัดสด ถั่วลิสงคั่วบด พริกป่น และมะนาว    ",https://github.com/akkarapon-sompoht/templel/blob/main/img/4.jpg
5,ข้าวผัดญี่ปุ่น,"น้ำมันพืช 1+1/2 ช้อนโต๊ะ
กระเทียมสับละเอียด 1 ช้อนโต๊ะ
ต้นหอมซอย 30 กรัม
ต้นหอมญี่ปุ่นสับละเอียด 2 ช้อนโต๊ะ
หมูแดง 90 กรัม
ซอสญี่ปุ่นสำหรับผัด 2 ช้อนโต๊ะ (เราใช้ของ Kikomam ค่ะ)
น้ำมันหอย 1 ช้อนโต๊ะ
น้ำตาลทราย 1 ช้อนชา
กุ้ง 90 กรัม
น้ำมันพืช 1/2 ช้อนโต๊ะ
ไข่ 2 ฟอง
สาเก 1 ช้อนชา (ในสูตรใช้เหล้าจีนแทนค่ะ เพราะที่บ้านไม่มีสาเก)
ข้าวญี่ปุ่นค้างคืน 370 กรัม",ตั้งกระทะใช้ไฟแรง ใส่น้ำมัน 1+1/2 ช้อนโต๊ะลงไป รอให้กระทะร้อนแล้วใส่กระเทียม ต้นหอมญี่ปุ่น และต้นหอมซอยแค่หยิบมือ ลงไปผัดให้หอม จากนั้นใส่หมูแดงลงไป แล้วปรุงรสหมูแดงด้วยน้ำมันหอย ซอสผัดญี่ปุ่น และน้ำตาลนิดหน่อย ผัดให้เข้ากัน จากนั้นใส่กุ้งลงไป เมื่อกุ้งเริ่มสุกให้ใส่น้ำมันลงไปอีก 1/2 ช้อนโต๊ะ แล้วใส่ไข่ลงไป อย่าเพิ่งทำอะไรกับไข่ ให้ใส่ข้าวสุกตามลงไปทันที จากนั้นค่อยผัดให้เข้ากัน หลังจากผัดให้เข้ากันแล้ว ให้ใส่เหล้าหรือสาเกลงไปผัดให้เข้ากันจนแอลกอฮอล์ระเหยไปหมดและเหลือแต่กลิ่น จากนั้นใส่น้ำมันหอย ซอสผัดญี่ปุ่น และน้ำตาลทรายที่เตรียมไว้ แล้วผัดให้เข้ากัน ใส่ต้นหอมซอยลงไป ปิดไฟ แล้วผัดให้เข้ากัน ถ้าต้องการให้ต้นหอมมีสีเขียวสวย ควรใส่เป็นอย่างท้ายสุดหลังจากผัดข้าวผัดได้ที่แล้ว และปิดไฟค่อยใส่ลงไป ใช้ความร้อนจากที่เหลือผัดให้เข้ากันก็พอ ถ้ารู้สึกว่าเค็มไม่พอ อย่าใส่ซอสเพิ่ม ให้ใส่เกลือแทน ไม่เช่นนั้นข้าวผัดจะแฉะเกินไป,https://github.com/akkarapon-sompoht/templel/blob/main/img/5.jpg
6,ยำขนมจีนรวมมิตร (น้ำยำไม่ใส่ปลาร้า),"ขนมจีน
กุ้งสด
ปลาหมึกสด
ไส้กรอกหมู
ลูกชิ้นปลา
พริกขี้หนู
น้ำมะนาว
น้ำปลา
น้ำตาลทราย
แครอต
มะเขือเทศ
หอมใหญ่
ขึ้นฉ่าย
ผักกาดหอม","1. ลวกกุ้ง ปลาหมึก ลูกชิ้น และไส้กรอก เตรียมไว้
2. นึ่งขนมจีนให้ร้อน เตรียมไว้ (เราชอบขนมจีนแป้งหมักมากกว่าแป้งสด เพราะนุ่มเหนียวอร่อยกว่า โดยเฉพาะเส้นเล็ก ๆ แบบนี้)
3. ทำน้ำยำโดยใส่น้ำมะนาว น้ำปลา น้ำตาลทราย และพริกขี้หนู คนผสมให้เข้ากัน ชิมรสตามชอบ
4. ใส่กุ้ง ปลาหมึก ลูกชิ้น และไส้กรอกที่ลวกไว้ คนผสมให้เข้ากัน
5. ใส่ขนมจีนคนผสมให้เข้ากัน 
6. ใส่แครอต หอมใหญ่ มะเขือเทศ และขึ้นฉ่าย คนผสมให้เข้ากัน
7. ตักใส่จานที่รองด้วยผักกาดหอม เสร็จเรียบร้อยพร้อมรับประทานค่ะ",https://github.com/akkarapon-sompoht/templel/blob/main/img/6.jpg
7,ยำข้าวปุ้นน้ำปลาร้าปลาทูน่าฟู,"ทูน่ากระป๋อง (ในน้ำมันพืชหรือน้ำเกลือก็ได้นะคะ)
เกล็ดขนมปัง
น้ำมันพืช (สำหรับทอด)
พริกป่น
น้ำตาลทราย
น้ำมะนาว
น้ำปลา
น้ำปลาร้าต้มสุก
ขนมจีน
ถั่วฝักยาวซอย หรือถั่วงอก (ไม่ก็ใส่ทั้งสองอย่างก็ได้ค่ะ)
ผักชีฝรั่งซอย
แครอตขูดเป็นเส้น
เมล็ดกระถิน (อันนี้ไม่มีก็ไม่ต้องใส่ก็ได้จ้า)","1. นำปลาทูน่ากระป๋องมาซับน้ำให้หมาด ๆ แล้วใช้ส้อมยี ๆ ให้เนื้อปลาไม่เป็นก้อน
2. นำปลาทูน่าที่ยีแล้วมาคลุกกับเกล็ดขนมปัง จากนั้นนำลงไปทอดในน้ำมันท่วม ๆ ทอดพอเหลืองกรอบ ตักขึ้นสะเด็ดน้ำมัน เตรียมไว้
3. ทำน้ำยำโดยใส่พริกป่น น้ำตาลทราย น้ำมะนาว น้ำปลา และน้ำปลาร้าต้มสุก ลงในอ่างผสม ชิมรสที่ชอบ (จะใส่พริกสดหั่นแทนพริกป่นก็ได้นะคะแล้วแต่ชอบเลย)
4. เมื่อได้รสที่ชอบแล้ว ใส่ข้าวปุ้น (ขนมจีน) ลงไปคลุกเคล้าให้เข้ากัน
5. ใส่ผักที่หั่นเตรียมไว้ลงไปพร้อมกับปลาทูน่าฟูที่ทอดไว้ (อย่าลืมเหลือปลาไว้โรยตอนสุดท้ายด้วยนะคะ) คลุกเคล้าให้เข้ากัน
6. ตักใส่จาน พร้อมเสิร์ฟ (เสร็จแล้วหน้าตาของเมนูยำข้าวปุ้นปลาทูน่าฟู หน้าตาใช้ได้เลยทีเดียว)",https://github.com/akkarapon-sompoht/templel/blob/main/img/7.jpg
8,ยำขนมจีนหอยแมลงภู่กับปูอัด,"ขนมจีน 200 กรัม
หอยแมลงภู่
ปูอัด
น้ำปลา 4 ช้อนโต๊ะ
น้ำมะนาว 4 ช้อนโต๊ะ
พริกสด 3 ช้อนโต๊ะ
น้ำตาลปี๊บ 2 ช้อนโต๊ะ
มะเขือเทศ
หอมแดง",เริ่มด้วยผสมน้ำปลา น้ำมะนาว พริกสด และน้ำตาลปี๊บคนให้ละลายแล้วชิมรสด้วยว่าอร่อยกลมกล่อมแล้วหรือยัง ใส่ขนมจีนลงไปคลุกเคล้ากับน้ำยำ ตามด้วยมะเขือเทศ หอมแดง หอยแมลงภู่ และปูอัด คลุกเคล้าให้เข้ากัน เส้นขนมจีนเหนียวนุ่มกับน้ำยำรสแซ่บ เครื่องแน่นขนาดนี้น้ำลายสอเลยค่ะ เอาช้อนส้อมมาตักกินได้เลยค่ะ,https://github.com/akkarapon-sompoht/templel/blob/main/img/8.jpg
9,ข้าวต้มหมูสับทรงเครื่อง,"ข้าวหอมมะลิต้มสุก
หมูสับ
กระเทียมซอย (สำหรับโรยหน้าและสำหรับผัด)
ขิงอ่อนหั่นเส้น
รากผักชีซอย
ลูกผักชีบด
ผงปรุงรส
ซีอิ๊วขาว
น้ำมันหอย
น้ำตาลทราย
ขึ้นฉ่าย
พริกไทยขาวป่น
ผักชี
ต้นหอมซอย",เจียวกระเทียมให้เหลืองหอมแล้วนำไปแยกพักไว้ เพื่อไว้ใช้โรยหน้าข้าวต้มในขั้นตอนสุดท้าย นำขิงอ่อน รากผักชี และกระเทียม ไปผัดกับน้ำมันจนกลิ่นหอม จากนั้นใส่หมูสับลงไปผัดให้เข้ากัน ใส่ลูกผักชีบดละเอียด ปรุงรสด้วยผงปรุงรส ซีอิ๊วขาว น้ำมันหอย และน้ำตาลทราย เมื่อเครื่องข้าวต้มสุกทั่ว ใส่ขึ้นฉ่ายแล้วผัดต่ออีกเล็กน้อยเพื่อให้ขึ้นฉ่ายโดนความร้อนส่งกลิ่นหอม นำเครื่องข้าวต้มไปคลุกกับข้าวต้มที่เตรียมไว้ ใส่พริกไทยขาว โรยหน้าด้วยต้นหอม ผักชี และกระเทียมเจียวเพื่อเพิ่มความหอมเป็นอันเสร็จ,https://github.com/akkarapon-sompoht/templel/blob/main/img/9.jpg
10,ข้าวผัดหนำเลี้ยบ,"หมูสับ 250 กรัม
กระเทียม
น้ำมันพืช 1-2 ช้อนโต๊ะ
หนำเลี้ยบ
น้ำปลา 1 ช้อนชา
น้ำตาลทราย 1 ช้อนชา
น้ำมันหอย 1 ช้อนชา
พริกไทยป่น
เกลือ
ข้าวสวยค้างคืน 200 กรัม
ต้นหอม
พริกสด
เครื่องเคียง ได้แก่ เม็ดมะม่วงหิมพานต์ หอมแดง พริกแดง และมะนาว",ผัดหมูกับกระเทียมให้เข้ากันก่อน แล้วค่อยใส่หนำเลี้ยบลงไปผัดค่ะ ปรุงรสให้เรียบร้อยแล้วใส่ข้าวลงไปค่ะ จากนั้นถ้าชิมแล้วอ่อนเค็มให้ใส่เกลือแทนน้ำปลานะคะ ข้าวจะได้ไม่แฉะค่ะ ใส่ต้นหอมและพริกทีหลังสุดค่ะ จะได้สีสวยน่ากิน ผัดให้เข้ากันแล้วปิดเตาทันทีค่ะ,https://github.com/akkarapon-sompoht/templel/blob/main/img/15.jpg
